state,year,quarter,insurance_type,insurance_count,insurance_amount
tripura,2020,2,Insurance,88,22054
tripura,2020,3,Insurance,249,61642
tripura,2020,4,Insurance,244,149765
tripura,2021,1,Insurance,360,191531
tripura,2021,2,Insurance,381,409934
tripura,2021,3,Insurance,494,649961
tripura,2021,4,Insurance,702,1022508
tripura,2022,1,Insurance,907,1493401
tripura,2022,2,Insurance,1021,1509105
tripura,2022,3,Insurance,1590,2105984
tripura,2022,4,Insurance,1508,2112534
tripura,2023,1,Insurance,1642,2404958
tripura,2023,2,Insurance,1563,2163813
tripura,2023,3,Insurance,2071,2899393
tripura,2023,4,Insurance,2237,3169741
tripura,2024,1,Insurance,2637,3417568
tripura,2024,2,Insurance,2188,2869489
tripura,2024,3,Insurance,2516,3323343
tripura,2024,4,Insurance,2794,3765732
uttar-pradesh,2020,2,Insurance,9884,1912266
uttar-pradesh,2020,3,Insurance,18131,4436969
uttar-pradesh,2020,4,Insurance,17470,14180417
uttar-pradesh,2021,1,Insurance,24103,18027573
uttar-pradesh,2021,2,Insurance,25952,25137571
uttar-pradesh,2021,3,Insurance,32799,32641118
uttar-pradesh,2021,4,Insurance,44132,59654951
uttar-pradesh,2022,1,Insurance,45996,73014969
uttar-pradesh,2022,2,Insurance,55133,77434953
uttar-pradesh,2022,3,Insurance,64514,87703512
uttar-pradesh,2022,4,Insurance,77022,116755813
uttar-pradesh,2023,1,Insurance,73080,127110494
uttar-pradesh,2023,2,Insurance,74194,122522457
uttar-pradesh,2023,3,Insurance,78940,121483170
uttar-pradesh,2023,4,Insurance,92125,165509877
uttar-pradesh,2024,1,Insurance,103701,176442664
uttar-pradesh,2024,2,Insurance,92458,159894258
uttar-pradesh,2024,3,Insurance,92930,157303596
uttar-pradesh,2024,4,Insurance,116589,199179867
uttarakhand,2020,2,Insurance,660,134899
uttarakhand,2020,3,Insurance,1403,418543
uttarakhand,2020,4,Insurance,1756,1961891
uttarakhand,2021,1,Insurance,2607,2719327
uttarakhand,2021,2,Insurance,2742,3265717
uttarakhand,2021,3,Insurance,4111,4646571
uttarakhand,2021,4,Insurance,5529,7849020
uttarakhand,2022,1,Insurance,5339,8824948
uttarakhand,2022,2,Insurance,5773,9168313
uttarakhand,2022,3,Insurance,6784,10070172
uttarakhand,2022,4,Insurance,8750,13817747
uttarakhand,2023,1,Insurance,7552,13599026
uttarakhand,2023,2,Insurance,8051,14034915
uttarakhand,2023,3,Insurance,7856,12636749
uttarakhand,2023,4,Insurance,10040,19045152
uttarakhand,2024,1,Insurance,11533,19531483
uttarakhand,2024,2,Insurance,10311,17754447
uttarakhand,2024,3,Insurance,10487,17860144
uttarakhand,2024,4,Insurance,13090,23367549
west-bengal,2020,2,Insurance,7619,1432764
west-bengal,2020,3,Insurance,12596,2878482
west-bengal,2020,4,Insurance,10233,7510455
west-bengal,2021,1,Insurance,15488,11172042
west-bengal,2021,2,Insurance,15200,12396029
west-bengal,2021,3,Insurance,24839,21424337
west-bengal,2021,4,Insurance,26320,31282871
west-bengal,2022,1,Insurance,38779,51160527
west-bengal,2022,2,Insurance,33542,41737021
west-bengal,2022,3,Insurance,47853,59092307
west-bengal,2022,4,Insurance,54277,70466433
west-bengal,2023,1,Insurance,56833,77461732
west-bengal,2023,2,Insurance,49792,65204280
west-bengal,2023,3,Insurance,58131,76359312
west-bengal,2023,4,Insurance,72712,100365562
west-bengal,2024,1,Insurance,79576,104987909
west-bengal,2024,2,Insurance,67048,89476633
west-bengal,2024,3,Insurance,77158,107451766
west-bengal,2024,4,Insurance,91719,120602777
